counts	group	gene
1	COVID_nonICU	GYPB
1	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
2,807354922	COVID_nonICU	GYPB
4,247927513	COVID_nonICU	GYPB
2,321928095	COVID_nonICU	GYPB
0	COVID_nonICU	GYPB
2,321928095	COVID_nonICU	GYPB
1	COVID_nonICU	GYPB
5,544423562	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
1,214124805	COVID_nonICU	GYPB
6,320665184	COVID_nonICU	GYPB
5,416501993	COVID_nonICU	GYPB
3	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
2,584962501	COVID_nonICU	GYPB
2,321928095	COVID_nonICU	GYPB
3	COVID_nonICU	GYPB
0	COVID_nonICU	GYPB
2,807354922	COVID_nonICU	GYPB
5,584962501	COVID_nonICU	GYPB
1	COVID_nonICU	GYPB
3,559491813	COVID_nonICU	GYPB
1,584962501	COVID_nonICU	GYPB
0	COVID_nonICU	GYPB
2,488000771	COVID_nonICU	GYPB
3	COVID_nonICU	GYPB
0	COVID_nonICU	GYPB
1,584962501	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
2	COVID_nonICU	GYPB
3,459431619	COVID_nonICU	GYPB
1,584962501	COVID_nonICU	GYPB
3	COVID_nonICU	GYPB
3,313245852	COVID_nonICU	GYPB
5,551516018	COVID_nonICU	GYPB
5,426600226	COVID_nonICU	GYPB
2,807354922	COVID_nonICU	GYPB
1,584962501	COVID_nonICU	GYPB
3,321928095	COVID_nonICU	GYPB
-3,321928095	COVID_nonICU	GYPB
4	COVID_nonICU	GYPB
4,754887502	COVID_nonICU	GYPB
5,392317423	COVID_nonICU	GYPB
3,321928095	COVID_nonICU	GYPB
5,880930361	COVID_ICU	GYPB
-3,321928095	COVID_ICU	GYPB
3,169925001	COVID_ICU	GYPB
2,584962501	COVID_ICU	GYPB
3,169925001	COVID_ICU	GYPB
4,899659026	COVID_ICU	GYPB
2	COVID_ICU	GYPB
2,321928095	COVID_ICU	GYPB
4,523561956	COVID_ICU	GYPB
5,044394119	COVID_ICU	GYPB
2,321928095	COVID_ICU	GYPB
1	COVID_ICU	GYPB
-3,321928095	COVID_ICU	GYPB
4	COVID_ICU	GYPB
0	COVID_ICU	GYPB
-3,321928095	COVID_ICU	GYPB
5,491853096	COVID_ICU	GYPB
6,426264755	COVID_ICU	GYPB
0	COVID_ICU	GYPB
-3,321928095	COVID_ICU	GYPB
4,392317423	COVID_ICU	GYPB
2,72900887	COVID_ICU	GYPB
6,405311683	COVID_ICU	GYPB
4,169925001	COVID_ICU	GYPB
7,301953395	COVID_ICU	GYPB
4,700439718	COVID_ICU	GYPB
2,584962501	COVID_ICU	GYPB
1	COVID_ICU	GYPB
2,584962501	COVID_ICU	GYPB
7,530055131	COVID_ICU	GYPB
1,584962501	COVID_ICU	GYPB
9,204351055	COVID_ICU	GYPB
3,459431619	COVID_ICU	GYPB
5,781359714	COVID_ICU	GYPB
4,247927513	COVID_ICU	GYPB
5,087462841	COVID_ICU	GYPB
0	COVID_ICU	GYPB
4,321928095	COVID_ICU	GYPB
5,128870759	COVID_ICU	GYPB
8,015916772	COVID_ICU	GYPB
3,906890596	COVID_ICU	GYPB
4,700439718	COVID_ICU	GYPB
2,807354922	COVID_ICU	GYPB
3	COVID_ICU	GYPB
4,523561956	COVID_ICU	GYPB
8,551323748	COVID_ICU	GYPB
2,321928095	COVID_ICU	GYPB
3,700439718	COVID_ICU	GYPB
3,169925001	COVID_ICU	GYPB
1,584962501	COVID_ICU	GYPB
1	CONTROL_nonICU	GYPB
3,700439718	CONTROL_nonICU	GYPB
-3,321928095	CONTROL_nonICU	GYPB
4,875288598	CONTROL_nonICU	GYPB
2,807354922	CONTROL_nonICU	GYPB
1,827819025	CONTROL_nonICU	GYPB
3,807354922	CONTROL_nonICU	GYPB
-3,321928095	CONTROL_nonICU	GYPB
-3,321928095	CONTROL_nonICU	GYPB
1	CONTROL_nonICU	GYPB
1,584962501	CONTROL_ICU	GYPB
-3,321928095	CONTROL_ICU	GYPB
1	CONTROL_ICU	GYPB
3,448900951	CONTROL_ICU	GYPB
3,169925001	CONTROL_ICU	GYPB
5,209453366	CONTROL_ICU	GYPB
2	CONTROL_ICU	GYPB
2,321928095	CONTROL_ICU	GYPB
5,930027641	CONTROL_ICU	GYPB
-3,321928095	CONTROL_ICU	GYPB
1,584962501	CONTROL_ICU	GYPB
3	CONTROL_ICU	GYPB
2,49057013	CONTROL_ICU	GYPB
4,382667253	CONTROL_ICU	GYPB
2,927896454	CONTROL_ICU	GYPB
