GROUP,ID,VAT1,TXNDC5,TUBB4B,TOM1,TOLLIP,TMEM30A,TMC6,TCIRG1,SYNGR1,SVIP,STXBP2,STK11IP,SLPI,SLC27A2,SERPINB6,S100P,S100A9,RAB4B,RAB24,QSOX1,PYGB,PYCARD,PTPRN2,PTPN6,PTGES2,PSMC3,PSMB1,PSMA2,PRKCD,PPIE,PKP1,PGRMC1,PGM1,PFKL,PDXK,PDAP1,ORMDL3,NME2,NIT2,NDUFC2,NBEAL2,NAPRT,MVP,MLEC,MIF,METTL7A,MAN2B1,LTF,LRG1,LAMTOR1,LAMP1,JUNB,JUN,IMPDH2,IMPDH1,HSPA1B,HSPA1A,HMOX2,GUSB,GSTP1,GSDMD,GALNS,GAA,FUCA1,FOS,ENPP4,EEF2,DPP7,DNASE1L1,DNAJC5,DGAT1,DDOST,DBNL,CYBA,CXCL8,CTSH,CTSD,CST3,COMMD3,CKAP4,CEP290,CD59,CD14,CAT,CANT1,ATP8B4,ATP6V0C,APRT,APEH,AP2A2,ANPEP,AMPD3,ALDOC,ALDH3B1,AGPAT2,AGA,ACTR1B,ACAA1,ABCA13
A,1,0,23,18,14,9,12,0,5,0,0,0,17,87,0,0,0,45,0,0,2,0,0,10,0,0,1,6,7,2,10,0,0,0,7,0,0,0,19,16,3,0,0,16,12,0,0,6,6,10,0,0,50,0,8,2,0,51,0,23,0,0,15,0,7,28,0,126,5,0,0,0,26,0,19,46,0,69,66,0,0,0,24,0,0,63,0,42,0,20,0,0,36,0,62,0,0,0,25,66
A,2,34,32,189,36,79,3,10,10,3,37,50,0,56,6,22,34,192,5,8,19,8,6,7,62,7,31,57,71,0,16,0,7,0,41,86,6,1,9,9,26,37,9,89,45,4,1,82,0,3,59,67,83,19,21,23,0,93,21,34,355,34,30,12,2,77,36,502,5,0,71,11,0,119,23,58,16,322,40,0,0,2,13,36,7,1,5,80,16,19,25,15,63,6,147,11,13,3,25,122
A,3,10,0,101,467,22,187,15,413,0,0,423,18,185,16,0,175,6277,52,211,107,0,43,7,668,0,10,103,80,24,5,22,65,0,45,7,22,15,1,16,1,1778,29,272,47,0,44,26,94,379,162,95,2410,582,41,134,871,512,16,69,0,12,44,77,39,10744,55,134,0,17,101,12,17,356,157,7126,124,286,78,0,221,171,63,430,48,39,120,162,1,14,13,744,252,0,36,21,0,9,116,2258
A,4,1,4,23,9,3,32,1,3,0,11,7,0,26,1,0,27,532,0,8,1,7,0,12,12,0,5,4,7,3,2,1,7,2,5,6,4,6,30,1,3,0,0,12,5,1,3,14,7,7,7,3,38,1,6,8,8,27,3,1,51,0,0,2,6,216,10,65,4,0,4,0,6,24,11,306,10,75,20,2,6,7,8,8,0,4,3,17,5,3,0,17,16,3,4,1,0,7,2,39
A,5,0,4,9,0,0,2,3,0,0,4,13,0,1,0,2,19,4,0,3,0,3,0,2,6,0,17,11,29,0,0,5,0,0,3,10,1,2,9,8,0,20,0,9,18,0,2,0,1,0,0,7,2,8,7,0,23,0,2,0,0,0,0,0,6,11,2,40,2,0,8,0,2,11,1,0,3,7,12,0,0,15,15,0,4,4,1,12,0,11,1,0,13,0,4,0,0,0,5,61
A,6,26,127,174,84,68,129,679,719,10,114,250,52,29,5,0,2,15,23,129,103,40,47,11,767,65,7,155,129,0,127,12,18,65,165,130,83,84,48,204,40,271,106,336,158,2,173,267,89,11,51,98,693,473,129,0,140,0,27,79,78,151,69,14,36,415,51,1095,200,81,152,33,86,644,353,13,263,206,47,58,2,101,41,0,35,61,8,143,34,118,100,12,243,50,102,1,39,89,145,153
A,7,5,2,84,8,5,2,1,13,0,5,3,3,13,1,13,7,9,2,0,7,3,3,2,20,1,2,0,9,0,1,0,0,3,3,4,7,7,9,7,0,2,0,16,4,0,6,5,2,1,14,0,4,3,3,0,5,5,0,0,2,3,3,1,0,9,2,60,2,2,12,0,6,12,6,9,2,37,6,1,5,2,11,3,3,2,2,14,1,7,7,0,13,2,44,0,1,4,4,23
A,8,8,34,283,59,35,36,14,65,0,32,61,25,239,6,52,119,1502,14,64,26,34,46,26,77,12,29,62,57,1,9,0,19,15,35,48,18,11,71,11,17,169,19,88,68,17,52,51,14,33,65,30,423,4,61,41,29,70,20,9,286,20,19,14,30,450,19,468,13,10,50,6,10,72,57,639,25,354,186,4,27,13,65,40,15,15,42,126,4,73,18,146,69,4,268,6,14,17,19,291
A,9,6,19,194,20,6,82,20,43,0,5,44,15,243,90,18,22,80,5,32,28,6,0,5,40,7,13,16,19,3,8,3,25,29,18,50,20,4,1,14,9,6,0,34,63,0,28,6,4,10,13,54,65,137,14,0,17,126,6,2,55,6,19,1,16,401,52,138,2,9,14,4,13,12,2,592,28,79,34,0,5,74,77,0,4,7,28,22,0,10,4,62,65,17,87,14,0,14,28,1251
A,10,4,8,11,5,9,6,0,0,3,13,4,0,15,2,8,3,28,9,5,2,0,0,0,8,0,9,28,9,0,7,2,5,0,1,8,3,0,10,4,4,2,0,2,22,1,13,0,6,5,7,8,2,0,3,2,11,0,0,3,25,0,3,0,4,30,4,30,0,0,0,0,2,8,0,34,0,46,6,1,6,12,0,2,13,0,10,13,0,7,5,9,6,0,21,0,5,0,0,117
