Genes	C1	C2	C3	C4	C5	C6	C13	C16	C17	C19	C33	C36	C37	C52	C58	C59	C60	C65	C70	C73	C75	C78	C79	C82	C95	C96	C98	C102	C103	C7	C11	C18	C34	C35	C51	C53	C56	C57	C61	C66	C69	C72	C83	C84	C86	C89	C90	C91	C94	C100	C8	C10	C12	C14	C15	C20	C21	C22	C23	C24	C25	C28	C30	C31	C32	C38	C40	C41	C44	C46	C47	C49	C50	C64	C67	C68	C71	C80	C85	C87	C97	C99	C101	C9	C26	C27	C29	C39	C42	C43	C45	C48	C55	C62	C63	C74	C76	C77	C92	C93	NC4	NC21	NC22	NC25	NC1	NC5	NC9	NC11	NC23	NC24	NC2	NC3	NC7	NC10	NC12	NC13	NC15	NC18	NC26	NC6	NC8	NC14	NC16	NC17	NC19	NC20
CCL2	9,933690655	2,321928095	2,584962501	5,209453366	1	3,169925001	5,491853096	3	1	2	5,614709844	3	2,807354922	3	2,807354922	5,426264755	5,169925001	4,459431619	8,266786541	10,23601419	6,285402219	1	1,584962501	2,807354922	2,584962501	4,169925001	1	2	4	2	5,700439718	4,807354922	4,584962501	3,321928095	3	4,64385619	6,672425342	3,700439718	4,087462841	9,357552005	2,321928095	6,658211483	8,714245518	2,584962501	4,523561956	-3,321928095	1	4,700439718	5,807354922	5,209453366	-3,321928095	1,584962501	0	0	0	2	3,807354922	-3,321928095	1	0	2	2,321928095	-3,321928095	0	2,807354922	0	3,321928095	-3,321928095	-3,321928095	-3,321928095	-3,321928095	3	-3,321928095	1	-3,321928095	1	1	5,614709844	2,321928095	4,392317423	-3,321928095	0	3,169925001	0	4,392317423	1	1	-3,321928095	3,807354922	0	2,584962501	2	3,584962501	1,584962501	4,459431619	3,321928095	-3,321928095	0	2	2,321928095	2	4,169925001	2	4,95419631	5,491853096	-3,321928095	6,741466986	3,169925001	2	5,491853096	1	-3,321928095	6,189824559	3,584962501	-3,321928095	-3,321928095	1,584962501	-3,321928095	3,169925001	1	-3,321928095	-3,321928095	-3,321928095	2,321928095	4,087462841	-3,321928095
IFNG	5,129283017	4,087462841	5,554588852	6,266786541	4,64385619	6,658211483	6,339850003	6,189824559	6,459431619	6,442943496	4,247927513	5,129283017	4,857980995	3,584962501	4,169925001	4,321928095	6,554588852	6,022367813	7,475733431	5,459431619	5,614709844	2,321928095	6,339850003	6	5	6,06608919	4,857980995	6,882643049	4	6,442943496	6,442943496	5,357552005	4,807354922	5,807354922	6,475733431	6,882643049	3,584962501	5,087462841	6,768184325	4,95419631	6,584962501	7,366322214	7,339850003	5,781359714	6,357552005	3	6,906890596	6,554588852	6,64385619	6,087462841	2	3,906890596	3,584962501	3,807354922	2,807354922	4,754887502	5,857980995	2	2,584962501	3	5,882643049	2,584962501	4,169925001	2	5,087462841	4,087462841	4,64385619	2	4	4,169925001	3,584962501	4,087462841	3,169925001	-3,321928095	5,584962501	5,554588852	5,209453366	3,906890596	5,554588852	5,906890596	4,584962501	4,64385619	5,087462841	2,321928095	5,554588852	4,906890596	2,321928095	2,321928095	5,247927513	3,321928095	4,247927513	-3,321928095	2,584962501	5,044394119	5,129283017	2,584962501	1	4,700439718	4,087462841	7,741466986	6,129283017	3,906890596	4,807354922	3,584962501	3,459431619	6,022367813	5,169925001	6,832890014	3,459431619	3,584962501	3,584962501	2,321928095	3,321928095	5,672425342	4,584962501	4,95419631	7,73470962	3,584962501	4,459431619	6,209453366	3	3,321928095	3,584962501	5,209453366	-3,321928095	5,392317423
CXCL8	11,51865316	11,96289601	12,04165915	13,6205635	11,8273427	14,46467337	13,77674144	12,7300455	13,21689739	12,88912366	10,68825031	9,537218401	11,83051521	7,64385619	10,73893668	15,30085301	12,23002044	10,6617781	8,717676423	12,31089675	10,98584194	10,53040634	11,99364606	10,91064273	13,6635581	11,94214792	10,01959073	7,055282436	13,08098403	12,72430067	14,23287058	13,92379172	15,25996389	13,96361862	11,93774162	13,25959616	12,81277897	13,12088584	11,29289676	11,19229281	10,07146236	11,27670602	11,05120894	8,721099189	11,06676193	14,35590164	12,40274562	12,51323411	12,54279006	11,41679753	8,885696373	10,28308835	10,67242534	12,20762447	12,50158842	10,50084188	10,75988818	10,36303963	13,14815877	11,6617781	11,68474862	11,89443885	10,30035256	10,87881728	14,64633369	10,99435344	10,17866485	9,28771238	12,93976285	13,59479112	14,10246786	10,88340699	12,52454172	9,052568051	7,055282436	4,95419631	9,54689446	8,95419631	7,451211112	13,73078853	7,982993575	8,985841937	11,68343329	7,948367232	12,83565569	12,8079586	10,57742883	9,052568051	11,95637616	14,03325091	15,19687103	11,76859788	10,30492167	9,541096615	9,527477006	7,888743249	7,531381461	10,46658634	11,96974625	8,696967526	12,86959384	13,34955769	11,1176431	10,86495992	12,47978026	12,1376316	13,82386477	11,33203655	10,51569984	15,91026796	11,18363538	9,511752654	13,22158712	10,35314683	9,46760555	9,126704473	11,08480839	11,36139553	10,19229281	6,672425342	10,93737382	11,90951811	9,509775004	11,66578003	11,07414146	10,41362793
ACOD1	3,169925001	1,584962501	2	1,584962501	4,087462841	0	3	1	1	1,584962501	3,459431619	3,169925001	1	1,584962501	-3,321928095	0	-3,321928095	3,169925001	4,523561956	3,169925001	3,807354922	0	0	1,584962501	0	-3,321928095	0	1	5,087462841	-3,321928095	0	1	1	3,169925001	2,584962501	1,584962501	1,584962501	-3,321928095	1,584962501	2,584962501	1,584962501	3,459431619	3,169925001	3,584962501	2,321928095	2	1	1	0	3,169925001	0	1	-3,321928095	0	-3,321928095	-3,321928095	0	-3,321928095	-3,321928095	-3,321928095	1	1	1	4	0	0	0	0	2,321928095	-3,321928095	0	-3,321928095	-3,321928095	1	-3,321928095	-3,321928095	0	4,247927513	-3,321928095	3,700439718	-3,321928095	-3,321928095	1	0	1,584962501	0	-3,321928095	1,584962501	1,584962501	-3,321928095	-3,321928095	1	0	3	2,807354922	2,584962501	0	3,321928095	0	1	3,321928095	1	-3,321928095	-3,321928095	-3,321928095	2	2,321928095	3,700439718	3,169925001	-3,321928095	0	0	0	1,584962501	2,807354922	2,321928095	1	1	-3,321928095	3,584962501	1	-3,321928095	-3,321928095	0	1	0
CD83	6,22881869	7,499845887	7,894817763	9,216745858	7,087462841	7,942514505	8,816983623	8,558420713	6,87036472	7,918863237	6,62935662	6,426264755	6,06608919	5,044394119	7,375039431	9,250298418	9,5980525	7,098032083	7,366322214	8,21916852	7,672425342	7,285402219	6,988684687	6,95419631	6,209453366	8,038918989	6,409390936	6,22881869	6,672425342	8,139551352	9,751544059	8,727920455	8,294620749	7,894817763	8,290018847	7,592457037	10,0768156	8,388017285	7,948367232	8,434628228	7,312882955	8,159871337	7,366322214	6,209453366	7,807354922	6,882643049	6,727920455	7,700439718	8,011227255	7	6,22881869	7,238404739	6,22881869	5,357552005	5,523561956	5,857980995	6,781359714	5,491853096	6,129283017	6,087462841	8,044394119	5,700439718	7,098032083	5,727920455	11,1711768	6,169925001	5,169925001	4,321928095	7,076815597	7,988684687	6,442943496	6,965784285	5,459431619	5,523561956	5,584962501	6,247927513	5,930737338	6,475733431	6,658211483	7,948367232	4,906890596	4,95419631	8,049848549	5,044394119	6,754887502	6,906890596	5,392317423	5,554588852	7,321928095	6	8,50779464	6,475733431	6,169925001	7,022367813	7,864186145	7,409390936	4,584962501	5,64385619	7,330916878	6,459431619	6,930737338	7,636624621	8,997179481	7,21916852	8,071462363	6,727920455	9,577428828	8,503825738	8,011227255	9,74819285	5,832890014	5,129283017	7,426264755	7,312882955	5,614709844	7,539158811	7,714245518	5,977279923	7,426264755	7,169925001	6,303780748	5,64385619	7,658211483	7,658211483	6,459431619	5,426264755
CCL4	8,575577063	8,019090285	8,16756868	10,85992297	8,578032972	9,256303056	9,242102277	10,1583951	9,050284014	9,205695519	8,404928661	8,633540193	8,163549049	7,844988157	8,402457854	9,183660191	10,4471659	9,418211035	9,839345531	9,452714853	9,163649676	8,282856762	10,49189317	8,583872554	8,40250049	9,167192315	8,200751509	9,431058774	8,485547583	9,432061618	10,34354107	9,136837353	10,3834127	10,22509896	8,927422429	8,911571752	7,924515622	9,876839215	9,911272133	9,328630053	9,431434922	10,4553375	10,41588962	9,149620116	8,774358799	8,903399863	9,111240021	9,795893547	10,1039041	9,524757173	7,2644426	8,573382101	9,741315293	7,528727582	7,196036494	9,611817877	8,575161033	7,382753701	8,341096238	10,65485975	8,79122802	7,32400048	8,644036515	8,356275887	7,794935663	7,524110703	8,639666296	6,685099172	8,223760401	8,772182589	8,536363792	8,537063055	7,399171094	6,336104825	8,467850054	8,484339566	7,400367146	6,570462931	8,086507801	9,738852262	8,135965742	7,731183242	7,690277401	7,618972739	9,052405025	9,315398672	7,176721693	6,186659017	8,021812824	7,69926011	9,917506347	7,425677492	8,473056289	8,493495231	7,774655301	6,191799501	7,088523257	8,166615031	7,795065583	8,838951767	10,69016389	9,870857864	9,232253023	8,97030725	9,939917077	9,7478573	10,19725356	8,985813481	7,665833312	10,25472158	8,789696652	7,146492307	7,220620167	9,73365939	8,614415387	7,620733018	9,991507674	9,059236288	7,387931152	9,63999181	9,010472159	7,549823165	7,967687386	8,425971153	7,907852072	8,665655691
TNF	8,721099189	8,124121312	6,754887502	9,269126679	8,049848549	8,921840937	8,751544059	8,204571144	8,810571635	8,479780264	7,614709844	7,807354922	7,076815597	6,965784285	8,303780748	9,118941073	9,060695932	7,924812504	8,581200582	8,909893084	8,503825738	7,531381461	7,276124405	8,622051819	7,936637939	8,930737338	6,22881869	7,882643049	6,95419631	8,599912842	9,121533517	8,826548487	8,154818109	8,82336724	8,962896005	7,622051819	7,622051819	8,388017285	8,438791853	8,647458426	8,129283017	8,82336724	7,62935662	7,960001932	8,370687407	6,303780748	7,665335917	9,781359714	8,495855027	7,665335917	7,238404739	6,392317423	5,700439718	6,357552005	7,483815777	7,807354922	7,807354922	6,857980995	6,554588852	7,787902559	8,519636253	5,285402219	6,357552005	7,257387843	5,523561956	7,900866808	6,339850003	7,303780748	8,86727874	8,159871337	6,930737338	8,894817763	6,794415866	6,700439718	7,033423002	6,820178962	6,700439718	7,77478706	8,599912842	8,016808288	5,554588852	7,539158811	8,14974712	5,247927513	8	7,055282436	6,339850003	5,754887502	8,294620749	6,882643049	6,672425342	6,906890596	7,087462841	7,77478706	7,761551232	8,515699838	8,348728154	6,942514505	8,103287808	7,011227255	8,894817763	9,177419538	7,851749041	7,357552005	9,240791332	8,144658243	9,83447105	9,501837185	9,422064766	8,479780264	7,523561956	6,539158811	8,396604781	9,471675214	8,50779464	8,968666793	8,348728154	7,17990909	8,055282436	7,62935662	7,17990909	6,965784285	8,194756854	8,451211112	9,197216693	7,087462841
SDC2	5,357552005	7,741466986	5,781359714	7,257387843	0	6,942514505	4,459431619	6,686500527	4,857980995	7,257387843	4,64385619	7,707359132	6,266786541	0	6,64385619	6,820178962	7,813781191	3,906890596	5,491853096	3,584962501	5,209453366	5,584962501	5,672425342	5,700439718	4,700439718	5,584962501	5	4,087462841	4	5,882643049	6,599912842	6,584962501	7,707359132	5,832890014	7,539158811	5,554588852	3,700439718	7,665335917	4,700439718	4,523561956	4,64385619	5	2,321928095	5,64385619	6	4,700439718	3,906890596	6,672425342	4,321928095	5,807354922	5,554588852	5,459431619	3	4,64385619	4,247927513	7,409390936	5,169925001	4,700439718	2,584962501	5,882643049	3	4,754887502	4,95419631	3,807354922	8,463524373	4,247927513	5,169925001	2	4,321928095	3,700439718	3,321928095	5,614709844	4	4,95419631	2,584962501	5,285402219	6,044394119	-3,321928095	8,357552005	7,266786541	1,584962501	3,459431619	6	1	4,906890596	3,906890596	5,247927513	4,754887502	4,169925001	2,321928095	5,044394119	2,807354922	6,807354922	2,584962501	2,584962501	5,523561956	5,554588852	5,426264755	3,807354922	6	6,584962501	5,247927513	3,700439718	5,930737338	5,554588852	2,807354922	5,247927513	5,832890014	4,169925001	5,832890014	3,584962501	3,584962501	6,169925001	6,129283017	2	5,832890014	6,108524457	5,392317423	6,87036472	4,95419631	4,95419631	4,392317423	5,700439718	6,392317423	5,64385619	4,64385619
PTGS2	11,93700593	13,16396409	11,48984796	14,80644893	13,42482239	14,01306091	13,83259338	13,50221025	12,67815996	13,62855946	10,21674586	10,45943162	12,6805793	9,25502857	9,939579214	15,34523197	12,8612808	10,46658634	10,03204573	11,79522797	11,23780747	12,29232163	12,72238064	10,90237511	13,07547915	11,3858624	10,28077077	8,810571635	9,754887502	11,8029202	14,08123376	14,62702082	15,71311797	14,33203655	11,68737568	12,12638183	12,83110928	11,99293834	11,07481046	10,56128795	10,72024426	9,64385619	11,19414124	10,32867493	10,51963625	13,97629561	12,73978061	12,05765334	11,35369821	10,53624722	11,94617524	10,70043972	10,74230944	13,16065931	13,15813629	12,44837446	11,83486604	11,32361776	13,24049322	13,81778312	11,51865316	12,79258697	12,54448152	11,18797059	9,885696373	13,52747701	10,90914305	8,8008999	12,57317378	13,1694553	13,75811909	9,019590728	8,353146825	10,10066234	8,124121312	5,64385619	9,960001932	9,918863237	9,37721053	12,95909634	8,348728154	9,550746785	10,32418055	8,400879436	13,85681455	12,17086395	10,25384748	8,84862294	11,46301341	13,31642297	15,80173362	10,89481776	11,28944258	11,05528244	10,09407769	9,442943496	9,59058705	11,36850646	10,71424552	10,43462823	13,62707784	12,25443815	11,8273427	10,43671154	12,23511671	9,607330314	14,30328131	11,20089861	10,40087944	14,74913616	12,86534664	10,17990909	11,62250945	10,9432474	8,689997971	9,744833837	9,571752644	12,39820926	8,238404739	6,375039431	11,5980525	11,82177398	11,64475759	11,83130724	11,52845411	11,5464122
IL6	1	2,321928095	1	-3,321928095	1,584962501	0	3,321928095	2	1,584962501	2,807354922	2,807354922	0	-3,321928095	-3,321928095	-3,321928095	2	1,584962501	2,321928095	2,321928095	3,169925001	-3,321928095	0	3,321928095	-3,321928095	1,584962501	2,321928095	1	1,584962501	-3,321928095	3,584962501	3,700439718	2,321928095	-3,321928095	3,459431619	-3,321928095	3	5,285402219	1,584962501	3,700439718	3,584962501	2,321928095	1	1	1	1	-3,321928095	3,321928095	2,807354922	1,584962501	2,321928095	0	0	1	-3,321928095	1,584962501	0	0	0	2	0	1,584962501	-3,321928095	2	1	3,584962501	0	-3,321928095	-3,321928095	1,584962501	1,584962501	2	2,321928095	-3,321928095	-3,321928095	4,523561956	1,584962501	-3,321928095	-3,321928095	-3,321928095	1	1	0	2,807354922	4	2	0	1	-3,321928095	1	0	0	0	1,584962501	2,584962501	1,584962501	2,321928095	-3,321928095	-3,321928095	0	2,807354922	1	-3,321928095	2,584962501	2,584962501	2,584962501	-3,321928095	1	2,321928095	1	0	-3,321928095	0	2	0	-3,321928095	0	2,321928095	-3,321928095	3,459431619	1,584962501	-3,321928095	-3,321928095	2,807354922	-3,321928095	-3,321928095	1
